"","x"
"2499",14
"2500",8
"2501",10
"2502",8
"2503",13
"2504",7
"2505",10
"2506",13
"2507",6
"2508",6
"2509",8
"2510",9
"2511",12
"2512",8
"2513",16
"2514",10
"2515",6
"2516",8
"2517",18
"2518",6
"2519",6
"2520",12
"2521",8
"2522",10
"2523",7
"2524",13
"2525",10
"2526",7
"2527",10
"2528",12
"2529",3
"2530",18
"2531",16
"2532",15
"2533",8
"2534",15
"2535",12
"2536",12
"2537",7
"2538",8
"2539",14
"2540",15
"2541",10
"2542",11
"2543",5
"2544",11
"2545",10
"2546",8
"2547",10
"2548",11
"2549",8
"2550",10
"2551",9
"2552",11
"2553",10
"2554",11
"2555",9
"2556",15
"2557",7
"2558",9
"2559",11
"2560",8
"2561",9
"2562",11
"2563",8
"2564",10
"2565",16
"2566",10
"2567",11
"2568",12
"2569",10
"2570",7
"2571",14
"2572",14
"2573",9
"2574",8
"2575",4
"2576",9
"2577",12
"2578",12
"2579",9
"2580",9
"2581",9
"2582",11
"2583",14
"2584",5
"2585",12
"2586",8
"2587",8
"2588",12
"2589",9
"2590",8
"2591",16
"2592",9
"2593",8
"2594",6
"2595",8
"2596",8
"2597",13
"2598",9
"2599",6
"2600",8
"2601",13
"2602",9
"2603",9
"2604",7
"2605",8
"2606",13
"2607",10
"2608",14
"2609",16
"2610",14
"2611",5
"2612",11
"2613",13
"2614",13
"2615",6
"2616",10
"2617",12
"2618",15
"2619",11
"2620",10
"2621",9
"2622",8
"2623",10
"2624",7
"2625",11
"2626",10
"2627",10
"2628",14
"2629",8
"2630",17
"2631",11
"2632",10
"2633",11
"2634",5
"2635",10
"2636",17
"2637",11
"2638",9
"2639",12
"2640",8
"2641",13
"2642",8
"2643",10
"2644",11
"2645",12
"2646",9
"2647",15
"2648",13
"2649",11
"2650",14
"2651",6
"2652",7
"2653",8
"2654",8
"2655",11
"2656",12
"2657",4
"2658",10
"2659",8
"2660",9
"2661",8
"2662",8
"2663",7
"2664",10
"2665",12
"2666",13
"2667",12
"2668",15
"2669",7
"2670",12
"2671",10
"2672",13
"2673",8
"2674",8
"2675",13
"2676",12
"2677",9
"2678",10
"2679",10
"2680",6
"2681",13
"2682",8
"2683",11
"2684",8
"2685",4
"2686",7
"2687",7
"2688",7
"2689",9
"2690",5
"2691",15
"2692",13
"2693",10
"2694",11
"2695",7
"2696",7
"2697",9
"2698",9
"2699",7
"2700",13
"2701",7
"2702",8
"2703",16
"2704",8
"2705",8
"2706",9
"2707",12
"2708",10
"2709",8
"2710",11
"2711",5
"2712",12
"2713",8
"2714",6
"2715",15
"2716",7
"2717",7
"2718",10
"2719",14
"2720",9
"2721",8
"2722",10
"2723",9
"2724",13
"2725",8
"2726",6
"2727",8
"2728",5
"2729",10
"2730",6
"2731",15
"2732",4
"2733",8
"2734",10
"2735",7
"2736",15
"2737",6
"2738",5
"2739",10
"2740",7
"2741",4
"2742",10
"2743",13
"2744",10
"2745",10
"2746",8
"2747",10
"2748",10
"2749",10
"2750",11
"2751",7
"2752",5
"2753",12
"2754",11
"2755",13
"2756",9
"2757",11
"2758",12
"2759",7
"2760",8
"2761",12
"2762",15
"2763",11
"2764",8
"2765",14
"2766",13
"2767",13
"2768",15
"2769",11
"2770",5
"2771",12
"2772",12
"2773",8
"2774",12
"2775",11
"2776",8
"2777",11
"2778",8
"2779",5
"2780",6
"2781",9
"2782",12
"2783",7
"2784",8
"2785",10
"2786",12
"2787",10
"2788",10
"2789",11
"2790",14
"2791",10
"2792",10
"2793",9
"2794",11
"2795",11
"2796",10
"2797",5
"2798",11
"2799",8
"2800",12
"2801",14
"2802",13
"2803",8
"2804",5
"2805",11
"2806",8
"2807",12
"2808",10
"2809",4
"2810",6
"2811",6
"2812",8
"2813",12
"2814",12
"2815",8
"2816",9
"2817",12
"2818",9
"2819",10
"2820",10
"2821",16
"2822",11
"2823",6
"2824",8
"2825",13
"2826",10
"2827",10
"2828",11
"2829",11
"2830",7
"2831",11
"2832",4
"2833",14
"2834",13
"2835",13
"2836",13
"2837",11
"2838",9
"2839",12
"2840",12
"2841",8
"2842",11
"2843",7
"2844",15
"2845",7
"2846",13
"2847",7
"2848",6
"2849",5
"2850",10
"2851",10
"2852",11
"2853",10
"2854",9
"2855",5
"2856",8
"2857",10
"2858",8
"2859",14
"2860",6
"2861",13
"2862",9
"2863",10
"2864",13
"2865",9
"2866",11
"2867",12
"2868",13
"2869",11
"2870",9
"2871",5
"2872",14
"2873",12
"2874",10
"2875",7
"2876",12
"2877",7
"2878",12
"2879",5
"2880",11
"2881",12
"2882",9
"2883",6
"2884",8
"2885",11
"2886",8
"2887",15
"2888",8
"2889",9
"2890",14
"2891",10
"2892",7
"2893",15
"2894",8
"2895",7
"2896",11
"2897",10
"2898",6
"2899",10
"2900",11
"2901",6
"2902",11
"2903",9
"2904",10
"2905",13
"2906",12
"2907",6
"2908",7
"2909",8
"2910",8
"2911",12
"2912",5
"2913",13
"2914",5
"2915",9
"2916",11
"2917",8
"2918",8
"2919",10
"2920",12
"2921",11
"2922",10
"2923",10
"2924",10
"2925",5
"2926",8
"2927",11
"2928",8
"2929",9
"2930",11
"2931",13
"2932",6
"2933",11
"2934",12
"2935",8
"2936",5
"2937",6
"2938",11
"2939",5
"2940",8
"2941",9
"2942",10
"2943",12
"2944",10
"2945",14
"2946",7
"2947",11
"2948",9
"2949",14
"2950",8
"2951",16
"2952",11
"2953",17
"2954",11
"2955",8
"2956",11
"2957",9
"2958",3
"2959",11
"2960",13
"2961",13
"2962",14
"2963",11
"2964",17
"2965",8
"2966",12
"2967",9
"2968",8
"2969",10
"2970",8
"2971",10
"2972",14
"2973",16
"2974",13
"2975",6
"2976",9
"2977",8
"2978",10
"2979",5
"2980",13
"2981",7
"2982",15
"2983",6
"2984",6
"2985",11
"2986",15
"2987",7
"2988",5
"2989",10
"2990",8
"2991",7
"2992",10
"2993",13
"2994",13
"2995",9
"2996",7
"2997",10
"2998",9
"2999",8
"3000",9
